,2014,0.00
13233,08/2014,66.59
13235,2014,63.49
13235,08/2014,63.49
13237,2014,69.54
13237,08/2014,69.57
13239,2014,45.36
13239,08/2014,45.44
13241,2014,73.48
13241,08/2014,73.48
13243,2014,46.88
13243,08/2014,46.88
13245,2014,36.09
13245,08/2014,36.14
13247,2014,40.21
13247,08/2014,40.22
13249,2014,70.95
13249,08/2014,70.96
13251,2014,54.18
13251,08/2014,54.20
13253,2014,61.43
13253,08/2014,61.43
13255,2014,60.64
13255,08/2014,60.66
13257,2014,74.61
13257,08/2014,74.62
13259,2014,35.56
13259,08/2014,35.56
13261,2014,44.66
13261,08/2014,44.67
13263,2014,36.24
13263,08/2014,36.22
13265,2014,38.96
13265,08/2014,38.96
13267,2014,69.53
13267,08/2014,69.52
13269,2014,54.11
13269,08/2014,54.11
13271,2014,53.79
13271,08/2014,53.79
13273,2014,43.97
13273,08/2014,43.96
13275,2014,58.47
13275,08/2014,58.46
13277,2014,65.92
13277,08/2014,66.17
13279,2014,69.38
13279,08/2014,69.40
13281,2014,73.92
13281,08/2014,73.88
13283,2014,60.23
13283,08/2014,60.28
13285,2014,59.15
13285,08/2014,59.22
13287,2014,56.21
13287,08/2014,56.15
13289,2014,43.36
13289,08/2014,43.37
13291,2014,76.39
13291,08/2014,76.39
13293,2014,62.66
13293,08/2014,62.66
13295,2014,70.22
13295,08/2014,70.21
13297,2014,76.80
13297,08/2014,76.80
13299,2014,66.52
13299,08/2014,66.52
13301,2014,45.12
13301,08/2014,45.15
13303,2014,47.63
13303,08/2014,47.57
13305,2014,69.00
13305,08/2014,69.00
13307,2014,52.77
13307,08/2014,52.77
13309,2014,58.36
13309,08/2014,58.36
13311,2014,78.08
13311,08/2014,78.07
13313,2014,66.89
13313,08/2014,66.90
13315,2014,65.13
13315,08/2014,65.13
13317,2014,54.80
13317,08/2014,54.75
13319,2014,49.16
13319,08/2014,49.14
13321,2014,70.15
13321,08/2014,70.22
15,2014,37.08
15,08/2014,49.45
15001,2014,30.89
15001,08/2014,30.89
15003,2014,40.44
15003,08/2014,40.44
15007,2014,31.99
15007,08/2014,31.99
15009,2014,28.03
15009,08/2014,28.03
16,2014,53.52
16,08/2014,38.56
16001,2014,42.73
16001,08/2014,42.72
16003,2014,64.42
16003,08/2014,64.37
16005,2014,45.79
16005,08/2014,45.88
16007,2014,72.83
16007,08/2014,72.83
16009,2014,53.20
16009,08/2014,53.20
16011,2014,63.18
16011,08/2014,63.18
16013,2014,33.84
16013,08/2014,33.85
16015,2014,59.45
16015,08/2014,59.45
16017,2014,53.97
16017,08/2014,53.97
16019,2014,56.65
16019,08/2014,56.68
16021,2014,59.45
16021,08/2014,59.45
16023,2014,67.41
16023,08/2014,67.41
16025,2014,62.47
16025,08/2014,61.07
16027,2014,61.06
16027,08/2014,61.09
16029,2014,68.08
16029,08/2014,68.08
16031,2014,70.31
16031,08/2014,70.31
16033,2014,70.17
16033,08/2014,70.17
16035,2014,54.84
16035,08/2014,54.84
16037,2014,61.82
16037,08/2014,61.82
16039,2014,60.28
16039,08/2014,60.28
16041,2014,74.84
16041,08/2014,74.84
16043,2014,71.41
16043,08/2014,71.40
16045,2014,67.73
16045,08/2014,67.77
16047,2014,62.55
16047,08/2014,62.57
16049,2014,61.78
16049,08/2014,61.75
16051,2014,71.05
16051,08/2014,71.07
16053,2014,63.45
16053,08/2014,63.48
16055,2014,59.85
16055,08/2014,59.86
16057,2014,38.70
16057,08/2014,38.71
16059,2014,67.08
16059,08/2014,67.30
16061,2014,54.53
16061,08/2014,54.53
16063,2014,61.83
16063,08/2014,61.82
16065,2014,68.47
16065,08/2014,68.53
16067,2014,66.67
16067,08/2014,66.67
16069,2014,47.68
16069,08/2014,47.67
16071,2014,73.50
16071,08/2014,73.56
16073,2014,73.20
16073,08/2014,73.22
16075,2014,67.70
16075,08/2014,67.71
16077,2014,57.41
16077,08/2014,57.44
16079,2014,49.00
16079,08/2014,49.00
16081,2014,42.64
16081,08/2014,42.64
16083,2014,58.25
16083,08/2014,58.25
16085,2014,52.18
16085,08/2014,52.21
16087,2014,67.18
16087,08/2014,66.39
17,2014,50.27
17,08/2014,46.03
17001,2014,76.35
17001,08/2014,0.00
17003,2014,48.82
17003,08/2014,0.00
17005,2014,62.91
17005,08/2014,0.00
17007,2014,62.50
17007,08/2014,0.00
17009,2014,70.71
17009,08/2014,0.00
17011,2014,57.08
17011,08/2014,0.00
17013,2014,58.94
17013,08/2014,0.00
17015,2014,65.51
17015,08/2014,0.00
17017,2014,59.49
17017,08/2014,0.00
17019,2014,54.92
17019,08/2014,0.00
17021,2014,64.63
17021,08/2014,0.00
17023,2014,73.22
17023,08/2014,0.00
17025,2014,75.07
17025,08/2014,0.00
17027,2014,76.09
17027,08/2014,0.00
17029,2014,64.54
17029,08/2014,0.00
17031,2014,33.26
17031,08/2014,0.00
17033,2014,69.33
17033,08/2014,0.00
17035,2014,69.66
17035,08/2014,0.00
17037,2014,57.66
17037,08/2014,0.00
17039,2014,70.34
17039,08/2014,0.00
17041,2014,75.52
17041,08/2014,0.00
17043,2014,60.81
17043,08/2014,0.00
17045,2014,71.34
17045,08/2014,0.00
17047,2014,80.99
17047,08/2014,0.00
17049,2014,76.74
17049,08/2014,0.00
17051,2014,70.82
17051,08/2014,0.00
17053,2014,75.85
17053,08/2014,0.00
17055,2014,60.70
17055,08/2014,0.00
17057,2014,46.82
17057,08/2014,0.00
17059,2014,62.23
17059,08/2014,0.00
17061,2014,65.63
17061,08/2014,0.00
17063,2014,59.05
17063,08/2014,0.00
17065,2014,67.96
17065,08/2014,0.00
17067,2014,71.43
17067,08/2014,0.00
17069,2014,64.30
17069,08/2014,0.00
17071,2014,59.44
17071,08/2014,0.00
17073,2014,61.23
17073,08/2014,0.00
17075,2014,77.54
17075,08/2014,0.00
17077,2014,50.89
17077,08/2014,0.00
17079,2014,70.90
17079,08/2014,0.00
17081,2014,66.97
17081,08/2014,0.00
17083,2014,64.99
17083,08/2014,0.00
17085,2014,60.74
17085,08/2014,0.00
17087,2014,69.46
17087,08/2014,0.00
17089,2014,60.45
17089,08/2014,0.00
17091,2014,59.98
17091,08/2014,0.00
17093,2014,61.64
17093,08/2014,0.00
17095,2014,51.63
17095,08/2014,0.00
17097,2014,57.90
17097,08/2014,0.00
17099,2014,56.07
17099,08/2014,0.00
17101,2014,64.62
17101,08/2014,0.00
17103,2014,58.06
17103,08/2014,0.00
17105,2014,66.06
17105,08/2014,0.00
17107,2014,67.72
17107,08/2014,0.00
17109,2014,61.21
17109,08/2014,0.00
